,index,Date,COP,CVX,EOG,EPD,OXY,PXD,SLB,XOM,SP500
0,0,2000-01-03,7.988740921020508,17.139812469482422,2.7754156589508057,0.9378578066825868,5.066550731658936,6.301114559173584,17.46525764465332,18.328685760498047,1455.219970703125
1,1,2000-01-04,7.834477424621582,17.139812469482422,2.7754156589508057,0.95699805021286,4.96004581451416,6.394463062286377,17.226821899414062,17.977628707885742,1399.4200439453125
2,2,2000-01-05,7.691228866577148,17.44724464416504,2.697076797485352,0.9697577357292176,4.990476608276367,6.207763195037842,17.187082290649414,18.95770072937012,1402.1099853515625
3,3,2000-01-06,7.955686569213867,18.190231323242188,2.920900821685791,0.95699805021286,5.127409934997559,6.347789287567139,18.35938262939453,19.937759399414062,1403.449951171875
4,4,2000-01-07,7.955686569213867,18.510486602783203,2.887326240539551,0.941048264503479,5.279554843902588,6.534488677978516,18.69715118408203,19.87924575805664,1441.469970703125
5,5,2000-01-10,7.933648109436035,18.01089096069336,2.90971040725708,0.941048264503479,5.1121931076049805,6.347789287567139,18.8759880065918,19.601316452026367,1457.5999755859375
6,6,2000-01-11,7.922628879547119,17.84436798095703,2.9320905208587646,0.9442381858825684,5.309988498687744,6.441137790679932,19.25350570678711,19.659832000732425,1438.56005859375
7,7,2000-01-12,7.768361568450928,17.780309677124023,2.937471628189087,0.941048264503479,5.279554843902588,6.114415645599365,18.81637954711914,19.542804718017575,1432.25
8,8,2000-01-13,7.779382705688477,17.946842193603516,2.993532657623291,0.9314777851104736,5.446920394897461,6.301114559173584,19.35285186767578,19.99626922607422,1449.6800537109375
9,9,2000-01-14,7.71327018737793,17.831546783447266,3.049590349197388,0.95699805021286,5.355632781982422,6.487813949584961,19.55154609680176,19.601316452026367,1465.1500244140625
10,10,2000-01-18,7.834477424621582,18.305517196655277,3.0608015060424805,0.9952778816223145,5.355632781982422,6.954563617706299,21.021896362304688,19.83537101745605,1455.1400146484375
11,11,2000-01-19,7.768361568450928,18.02369880676269,3.0720133781433105,1.011228084564209,5.431707382202148,6.814537048339844,20.94241523742676,20.025524139404297,1455.9000244140625
12,12,2000-01-20,7.547986030578613,17.934032440185547,3.0047430992126465,0.998467743396759,5.386058807373047,6.721189975738525,20.525156021118164,19.586700439453125,1445.5699462890625
13,13,2000-01-21,7.52594518661499,18.15180206298828,2.91504979133606,0.9888980388641356,5.279554843902588,7.04791259765625,20.982149124145508,19.89387321472168,1441.3599853515625
14,14,2000-01-24,7.360659599304199,18.203044891357425,2.8477795124053955,1.0080374479293823,5.081763744354248,7.0945892333984375,20.44567108154297,19.718339920043945,1401.530029296875
