,Datetime,COP,CVX,EOG,EPD,MPC,OXY,PSX,PXD,SLB,XOM,SP500
0,2021-04-06 09:30:00-04:00,53.18000030517578,104.8949966430664,74.29000091552734,22.600000381469727,54.72999954223633,25.8799991607666,82.26950073242188,154.11000061035156,28.190000534057617,57.16999816894531,4083.179931640625
1,2021-04-06 10:30:00-04:00,53.0,104.29000091552734,73.73999786376953,22.524999618530273,54.34000015258789,25.639999389648438,81.5999984741211,151.7949981689453,27.809999465942383,56.720001220703125,4082.9599609375
2,2021-04-06 11:30:00-04:00,52.86000061035156,104.13999938964844,73.05999755859375,22.559999465942383,54.07659912109375,25.549999237060547,81.2300033569336,151.52000427246094,27.729999542236328,56.61000061035156,4082.89990234375
3,2021-04-06 12:30:00-04:00,52.494998931884766,103.62000274658203,72.36000061035156,22.485000610351562,53.439998626708984,25.31999969482422,80.55999755859375,150.88999938964844,27.510000228881836,56.314998626708984,4074.169921875
4,2021-04-06 13:30:00-04:00,52.46500015258789,103.56999969482422,72.31999969482422,22.530000686645508,53.47999954223633,25.424999237060547,80.83499908447266,151.00999450683594,27.459999084472656,56.334999084472656,4080.77001953125
5,2021-04-06 14:30:00-04:00,52.560001373291016,103.71499633789062,72.4800033569336,22.545000076293945,53.3650016784668,25.40999984741211,80.95999908447266,151.15499877929688,27.53499984741211,56.404998779296875,4076.2099609375
6,2021-04-06 15:30:00-04:00,52.58000183105469,103.58000183105469,72.27999877929688,22.59000015258789,53.68000030517578,25.34000015258789,80.80999755859375,151.42999267578125,27.43000030517578,56.349998474121094,4074.4599609375
7,2021-04-07 09:30:00-04:00,52.5099983215332,104.16000366210938,73.02999877929688,22.690000534057617,53.810001373291016,25.40999984741211,79.48999786376953,152.75,27.56999969482422,56.584999084472656,4081.659912109375
8,2021-04-07 10:30:00-04:00,52.47999954223633,104.23999786376953,73.05999755859375,22.665000915527344,53.810001373291016,25.25,79.73999786376953,153.0800018310547,27.360000610351562,56.58000183105469,4076.010009765625
9,2021-04-07 11:30:00-04:00,52.38999938964844,103.72000122070312,72.63999938964844,22.61479949951172,53.470001220703125,25.149999618530273,79.23999786376953,152.75,27.229999542236328,56.38999938964844,4069.050048828125
10,2021-04-07 12:30:00-04:00,52.529998779296875,104.37000274658203,73.27999877929688,22.68000030517578,53.98500061035156,25.465099334716797,80.13999938964844,153.90499877929688,27.510000228881836,56.70000076293945,4073.919921875
11,2021-04-07 13:30:00-04:00,52.345001220703125,104.23999786376953,73.33999633789062,22.62809944152832,53.904998779296875,25.3700008392334,80.03009796142578,154.1999969482422,27.40999984741211,56.58610153198242,4079.68994140625
12,2021-04-07 14:30:00-04:00,52.29499816894531,104.11000061035156,73.13999938964844,22.635000228881836,53.790000915527344,25.295000076293945,79.87999725341797,153.61000061035156,27.343700408935547,56.43000030517578,4073.969970703125
13,2021-04-07 15:30:00-04:00,52.380001068115234,104.18000030517578,73.29000091552734,22.565000534057617,54.0099983215332,25.299999237060547,80.0,153.47999572753906,27.360000610351562,56.59000015258789,4080.06005859375
14,2021-04-08 09:30:00-04:00,51.55500030517578,102.69499969482422,71.36000061035156,22.649999618530273,53.060001373291016,24.415700912475586,78.41000366210938,149.97000122070312,26.528400421142578,55.86000061035156,4087.199951171875
15,2021-04-08 10:30:00-04:00,51.255001068115234,102.70999908447266,71.25,22.600000381469727,53.31999969482422,24.524999618530273,78.25,148.77999877929688,26.860000610351562,55.72999954223633,4091.419921875
16,2021-04-08 11:30:00-04:00,51.54999923706055,102.87580108642578,71.8949966430664,22.735000610351562,53.62699890136719,24.75,78.81999969482422,150.1699981689453,26.97100067138672,55.959999084472656,4094.570068359375
17,2021-04-08 12:30:00-04:00,51.417198181152344,102.7699966430664,71.98999786376953,22.739999771118164,53.529998779296875,24.655000686645508,78.69499969482422,149.58999633789062,27.0,55.86330032348633,4093.93994140625
18,2021-04-08 13:30:00-04:00,51.26499938964844,102.7300033569336,71.77999877929688,22.770000457763672,53.28499984741211,24.610000610351562,78.4000015258789,149.1300048828125,26.950000762939453,55.8557014465332,4096.1298828125
19,2021-04-08 14:30:00-04:00,51.39500045776367,103.04000091552734,72.08999633789062,22.93000030517578,53.40999984741211,24.81999969482422,78.75,149.22999572753906,27.135000228881836,55.97999954223633,4095.969970703125
20,2021-04-08 15:30:00-04:00,51.220001220703125,103.01000213623047,72.20999908447266,23.1200008392334,53.34000015258789,24.729999542236328,78.43000030517578,149.39999389648438,27.040000915527344,55.9900016784668,4097.22021484375
21,2021-04-09 09:30:00-04:00,51.209999084472656,102.5199966430664,71.98999786376953,22.8799991607666,53.02000045776367,24.396699905395508,79.5250015258789,147.6300048828125,26.770000457763672,55.75,4099.68994140625
22,2021-04-09 10:30:00-04:00,51.380001068115234,102.61499786376953,72.08000183105469,22.989999771118164,53.2400016784668,24.690000534057617,79.52999877929688,146.97999572753906,26.6200008392334,55.78499984741211,4101.75
23,2021-04-09 11:30:00-04:00,51.130001068115234,102.33000183105469,71.82499694824219,23.020000457763672,52.79999923706055,24.635000228881836,78.78500366210938,146.33999633789062,26.479999542236328,55.64500045776367,4105.2001953125
24,2021-04-09 12:30:00-04:00,51.0099983215332,102.33000183105469,71.45500183105469,23.0049991607666,52.8650016784668,24.56999969482422,78.68499755859375,146.27000427246094,26.565000534057617,55.649898529052734,4107.35009765625
25,2021-04-09 13:30:00-04:00,51.22999954223633,102.6449966430664,71.83999633789062,22.844999313354492,52.97999954223633,24.690000534057617,79.125,146.60499572753906,26.709999084472656,55.84000015258789,4110.08984375
