Date,COP,CVX,EOG,EPD,MPC,OXY,PSX,PXD,SLB,XOM,SP500
2000-01-03,7.988740921020508,17.139812469482422,2.7754156589508057,0.9378578066825867,,5.0665507316589355,,6.301114559173584,17.46525764465332,18.328685760498047,1455.219970703125
2000-01-04,7.834477424621582,17.139812469482422,2.7754156589508057,0.9569980502128601,,4.96004581451416,,6.394463062286377,17.226821899414062,17.977628707885742,1399.4200439453125
2000-01-05,7.691228866577148,17.44724464416504,2.6970767974853516,0.9697577357292175,,4.990476608276367,,6.207763195037842,17.187082290649414,18.957700729370117,1402.1099853515625
2000-01-06,7.955686569213867,18.190231323242188,2.920900821685791,0.9569980502128601,,5.127409934997559,,6.347789287567139,18.35938262939453,19.937759399414062,1403.449951171875
2000-01-07,7.955686569213867,18.510486602783203,2.887326240539551,0.941048264503479,,5.279554843902588,,6.534488677978516,18.69715118408203,19.87924575805664,1441.469970703125
2000-01-10,7.933648109436035,18.01089096069336,2.90971040725708,0.941048264503479,,5.1121931076049805,,6.347789287567139,18.875988006591797,19.601316452026367,1457.5999755859375
2000-01-11,7.922628879547119,17.84436798095703,2.9320905208587646,0.9442381858825684,,5.309988498687744,,6.441137790679932,19.25350570678711,19.659832000732422,1438.56005859375
2000-01-12,7.768361568450928,17.780309677124023,2.937471628189087,0.941048264503479,,5.279554843902588,,6.114415645599365,18.81637954711914,19.542804718017578,1432.25
2000-01-13,7.779382705688477,17.946842193603516,2.993532657623291,0.9314777851104736,,5.446920394897461,,6.301114559173584,19.35285186767578,19.99626922607422,1449.6800537109375
2000-01-14,7.71327018737793,17.831546783447266,3.0495903491973877,0.9569980502128601,,5.355632781982422,,6.487813949584961,19.551546096801758,19.601316452026367,1465.1500244140625
2000-01-18,7.834477424621582,18.305517196655273,3.0608015060424805,0.9952778816223145,,5.355632781982422,,6.954563617706299,21.021896362304688,19.835371017456055,1455.1400146484375
2000-01-19,7.768361568450928,18.023698806762695,3.0720133781433105,1.011228084564209,,5.431707382202148,,6.814537048339844,20.942415237426758,20.025524139404297,1455.9000244140625
2000-01-20,7.547986030578613,17.934032440185547,3.0047430992126465,0.998467743396759,,5.386058807373047,,6.721189975738525,20.525156021118164,19.586700439453125,1445.5699462890625
2000-01-21,7.52594518661499,18.15180206298828,2.9150497913360596,0.9888980388641357,,5.279554843902588,,7.04791259765625,20.982149124145508,19.89387321472168,1441.3599853515625
2000-01-24,7.360659599304199,18.203044891357422,2.8477795124053955,1.0080374479293823,,5.081763744354248,,7.0945892333984375,20.44567108154297,19.718339920043945,1401.530029296875
2000-01-25,7.448811054229736,18.15180206298828,2.8029332160949707,1.0207977294921875,,4.823112487792969,,7.281287670135498,20.187374114990234,19.67445945739746,1410.030029296875
2000-01-26,7.261492729187012,17.985271453857422,2.8365671634674072,1.0239880084991455,,4.944831848144531,,7.32796049118042,19.98867416381836,19.542804718017578,1404.0899658203125
2000-01-27,7.140283584594727,17.28072166442871,2.7692973613739014,1.0141732692718506,,4.899185657501221,,6.581162452697754,19.869457244873047,18.957700729370117,1398.56005859375
2000-01-28,7.030091285705566,16.92203712463379,2.7356624603271484,1.0370739698410034,,4.86875581741333,,6.441137790679932,19.074682235717773,18.460336685180664,1360.1600341796875
2000-01-31,7.206396102905273,17.139812469482422,2.8477795124053955,1.066517949104309,,4.8383259773254395,,6.394463062286377,19.412466049194336,19.39652442932129,1394.4599609375
2000-02-01,7.173337459564209,17.050153732299805,2.870203971862793,1.0567028522491455,,4.823112487792969,,6.674513339996338,20.326461791992188,19.46966552734375,1409.280029296875
2000-02-02,7.074166774749756,16.934852600097656,2.9598958492279053,0.9945442080497742,,4.777466773986816,,6.954563617706299,19.551546096801758,19.61595344543457,1409.1199951171875
2000-02-03,6.9419403076171875,16.69146156311035,2.892625331878662,1.0468887090682983,,4.747037410736084,,6.721189975738525,19.491939544677734,19.27950668334961,1424.969970703125
2000-02-04,6.875829219818115,16.10219955444336,2.814143419265747,1.0534311532974243,,4.747037410736084,,6.6278395652771,18.915727615356445,18.92844581604004,1424.3699951171875
2000-02-07,7.052134037017822,16.20467758178711,2.7917211055755615,1.0338019132614136,,4.7318220138549805,,6.487813949584961,19.293245315551758,18.89919090270996,1424.239990234375
2000-02-08,6.875829219818115,16.050960540771484,2.7805097103118896,1.0010865926742554,,4.7013936042785645,,6.254437446594238,18.915727615356445,18.474971771240234,1441.719970703125
2000-02-09,6.721563816070557,15.372021675109863,2.7020277976989746,0.9945442080497742,,4.625319480895996,,6.067739486694336,18.14082145690918,17.946006774902344,1411.7099609375
2000-02-10,6.699522495269775,15.743522644042969,2.8477795124053955,1.0207163095474243,,4.610102653503418,,6.207763195037842,18.77663230895996,17.857755661010742,1416.8299560546875
2000-02-11,6.600353240966797,15.167071342468262,2.8029332160949707,1.0207163095474243,,4.50360107421875,,6.067739486694336,18.577943801879883,17.387041091918945,1387.1199951171875
2000-02-14,6.633410930633545,15.128634452819824,2.825356960296631,1.027259111404419,,4.199304103851318,,5.881040096282959,19.23363494873047,17.990135192871094,1389.93994140625
2000-02-15,6.743601322174072,15.884432792663574,2.9150497913360596,1.0239880084991455,,4.366663455963135,,6.021064281463623,20.664241790771484,18.666797637939453,1402.050048828125
2000-02-16,7.026436805725098,16.0833740234375,2.85899019241333,1.0468887090682983,,4.412311553955078,,5.787689685821533,20.982149124145508,18.8286075592041,1387.6700439453125
2000-02-17,7.026436805725098,16.070453643798828,2.9038379192352295,1.0599743127822876,,4.290592670440674,,5.74101448059082,21.26032257080078,18.328472137451172,1388.260009765625
